"Army nominations,",totaling,"14,784,",disposed,of,as,fol-,
lows:,,,,,,,
"Confirmed ................................................................. 14,782",,,,,,,
Failed at August-September adjournment...................,,,,,,,1
Failed at November is sine die adjournment.............,,,,,,,1
"Navy nominations, totaling 21,994, disposed of",,,,follows:,,,
"Confirmed ................................................................. 21,994",,,,,,,
"Air Force nominations,",totaling,"12,819,",disposed,,of,as,
follows:,,,,,,,
"Confirmed ................................................................. 12,792",,,,,,,
"Unconfirmed ............................................. , . ...  .. ..  .. . .. ..",,,,,,,26
Failed at August-September adjournment...................,,,,,,,1
"Marine Corps nominations, totaling 2,990, disposed of as",,,,,,,
follows:,,,,,,,
Confirmed .................................................................,,,,,,,"2,990"
"Civilian nomin,uions,","totaling 3,454, disposed of as fol-",,,,,,
lows:,,,,,,,
Confirmed ................................................................ .,,,,,,,"2,978"
Withdrawn ................................................................ .,,,,,,,2
Failed at August-September adjournment. ............ : .... .,,,,,,,50
Failed at November 18 sine die adjournment.......... :. .,,,,,,,424
,Summary,,,,,,
"Total nominations received ............................................... 56,041",,,,,,,
"Total confirllled ................................................................ 55,536",,,,,,,
Total unconfirmed............................................................,,,,,,,26
Total withdrawn................................................................,,,,,,,2
Total failed at August-September adjournment .................,,,,,,,52
Total failed at November 18 sine die adjournment ...........,,,,,,,425
